date,London,South East,East Anglia,East Midlands,Yorkshire & Humber,Scotland,North West,South West,West Midlands
1988-02-01,0.7117109,0.69,0.695,0.72792447,0.7766667,0.95,1.2,0.7100233,0.71674305
1988-03-01,0.7117109,0.6,0.73902804,0.72792447,0.845,0.725,0.70004463,0.7100233,0.71674305
1988-04-01,0.7117109,0.99,0.73902804,0.55,0.7064718,0.69707406,0.6,0.7100233,0.54
1988-05-01,0.7117109,0.7,0.75,0.8,0.7064718,0.69707406,0.70004463,0.74,0.79
1988-06-01,0.7117109,0.7375,0.73902804,0.49,0.7064718,0.69707406,0.59,0.8,0.71674305
1988-07-01,0.7117109,0.7577874,0.52,0.72792447,0.7064718,0.69707406,0.70004463,0.55499995,0.71674305
1988-08-01,0.7117109,0.7577874,0.73902804,0.72792447,0.45,0.65,0.70004463,0.48,0.71674305
1988-09-01,0.7117109,0.62,0.58,0.72792447,0.62,0.69707406,0.70004463,0.7100233,0.71674305
1988-10-01,0.7117109,0.7577874,0.73902804,0.72792447,0.7064718,0.69707406,0.79,0.7100233,0.89
1988-11-01,0.7117109,0.79499996,0.73902804,1.2,0.7064718,0.95,0.70004463,0.7100233,0.89
1988-12-01,0.7117109,0.7577874,0.73902804,0.79,0.94,0.8,0.82,0.7100233,0.71674305
1989-01-01,0.7117109,0.67333335,0.73902804,0.72792447,0.7064718,0.85,0.49,0.7100233,0.71674305
1989-02-01,0.7117109,0.69,0.73902804,0.63,0.7064718,0.78,0.58,0.78999996,0.85
1989-03-01,0.7117109,0.85,0.73902804,0.85,0.84,0.69707406,0.95,0.7100233,0.98
1989-04-01,0.7117109,0.5,0.73902804,0.72792447,0.7064718,0.69707406,0.70004463,0.7100233,0.71674305
1989-05-01,0.7117109,0.7577874,0.59,0.68,0.7064718,0.69707406,0.70004463,0.7100233,0.71674305
1989-06-01,0.7117109,0.7577874,0.73902804,0.72792447,0.7064718,0.55,0.67,0.7100233,0.71674305
1989-07-01,0.69,0.725,0.73902804,0.65,0.45,0.6,0.48,0.7100233,0.71674305
1989-08-01,0.7117109,0.7577874,0.73902804,0.72792447,0.65,0.69707406,0.70004463,0.7100233,0.71674305
1989-09-01,0.7117109,0.7577874,0.73902804,0.89,0.55,0.69707406,0.82,0.7100233,0.71674305
1989-10-01,0.7117109,0.7577874,0.73902804,0.72792447,0.7064718,0.69707406,0.70004463,0.6,0.71674305
1989-11-01,0.84000003,0.99,0.73902804,0.72792447,0.7064718,0.69707406,0.70004463,0.7100233,0.71674305
1989-12-01,0.99,0.99,0.84,0.89,0.92,0.69707406,0.79,0.945,0.71674305
1990-01-01,0.6333333,0.89,0.73902804,0.72792447,0.7064718,0.69707406,0.89,0.8066667,0.71674305
1990-02-01,0.7117109,0.7577874,0.89,0.62,1.0699999,0.69707406,0.78999996,0.79,0.71674305
1990-03-01,0.98,0.7577874,0.73902804,0.65,0.89,0.69707406,0.49,0.7100233,0.89
1990-04-01,0.7117109,0.74,0.73902804,0.72792447,0.7064718,0.69707406,0.70004463,0.585,0.71674305
1990-05-01,0.7117109,0.7577874,0.73902804,0.72792447,0.55,0.48499998,0.65,0.62,0.71674305
1990-06-01,0.79,0.78,0.73902804,0.72792447,0.7064718,0.69707406,0.70004463,0.65,0.71674305
1990-07-01,0.7117109,0.7577874,0.73902804,0.72792447,0.7064718,0.69707406,0.6333333,0.49,0.71674305
1990-08-01,0.75,0.7577874,0.75,0.72792447,0.7064718,0.59,0.70004463,0.7100233,0.71674305
1990-09-01,0.7117109,0.48,0.73902804,0.72792447,0.7064718,0.69707406,0.768,0.72,0.89
1990-10-01,0.7117109,0.91999996,0.73902804,0.64,0.7064718,0.69707406,0.89,0.87,0.71674305
1990-11-01,0.69,0.99,0.73902804,0.72792447,0.7064718,0.69707406,0.70004463,0.7100233,0.71674305
1990-12-01,0.7117109,0.7577874,0.73902804,0.72792447,0.7064718,1.01,1.0,0.92,0.99
1991-01-01,0.89,0.7577874,0.73902804,0.87,0.99,0.89,0.87,0.85,0.71674305
1991-02-01,0.645,0.99,0.89,0.72792447,0.7064718,0.85,0.72,0.59,0.89
1991-03-01,0.7117109,0.7577874,0.73902804,0.65,0.7064718,0.59000003,0.865,0.7100233,0.71674305
1991-04-01,0.7117109,0.7577874,0.78999996,0.72792447,0.55,0.69707406,0.39,0.65,0.71674305
1991-05-01,0.59,0.7577874,0.66,0.515,0.7064718,0.69707406,0.70004463,0.50666666,0.545
1991-06-01,0.7117109,0.3,0.59,0.54,0.7064718,0.79,0.70004463,0.59,0.71674305
1991-07-01,0.48999998,0.58,0.58,0.72792447,0.3,0.58,0.59,0.7100233,0.53499997
1991-08-01,0.7117109,0.59,0.73902804,0.55,0.7064718,0.69707406,0.39,0.49,0.71674305
1991-09-01,0.99,0.87,0.73902804,0.72792447,0.7064718,0.69707406,1.19,0.7100233,0.995
1991-10-01,0.87,0.6,0.73902804,0.7,0.85333335,0.69,0.85,0.49,0.71674305
1991-11-01,0.7117109,0.85,0.73902804,0.72792447,0.82,0.94,0.99,0.97,0.82
1991-12-01,0.64,0.79,0.73902804,0.7,0.775,0.79,1.18,0.75,0.69
1992-01-01,0.7117109,0.91999996,0.7,0.78999996,0.735,0.845,0.89,0.7100233,0.71674305
1992-02-01,0.65,0.6775,0.73902804,0.68,0.495,0.49,0.70004463,0.635,0.71674305
1992-03-01,0.89,0.72,0.72,0.85,0.7064718,0.65,0.64,0.75,0.59000003
1992-04-01,0.7117109,0.54499996,0.645,0.59,0.59,0.69,0.70004463,0.75,0.85
1992-05-01,0.49,0.4,0.61,0.72792447,0.7064718,0.65,0.69,0.49,0.595
1992-06-01,0.35,0.575,0.73902804,0.615,0.7064718,0.69707406,0.70004463,0.59,0.52
1992-07-01,0.645,0.6766667,0.69,0.595,0.49,0.69707406,0.70004463,0.52,0.71674305
1992-08-01,0.65,0.65,0.635,0.72792447,0.69,0.53999996,0.70004463,0.7100233,0.59
1992-09-01,0.94,0.7,0.845,0.72792447,0.7064718,0.69707406,0.86,0.93,0.71674305
1992-10-01,0.65,0.7577874,0.675,0.72792447,0.66999996,0.66999996,0.75,0.69,0.72
1992-11-01,0.9325,0.7577874,0.95,0.72792447,0.91999996,0.69707406,0.89,0.79,0.84000003
1992-12-01,0.7117109,0.75,0.73902804,0.72792447,0.99,0.95,0.995,0.99,0.85
1993-01-01,1.29,1.0,1.0025,0.99,0.99,0.69707406,0.99,0.7100233,0.71674305
1993-02-01,0.7117109,0.69,0.8233333,0.68,0.59,0.69,0.69,0.59,0.71674305
1993-03-01,0.68,0.85,0.73902804,0.87,0.85,0.845,0.78999996,0.7100233,0.6766667
1993-04-01,0.7117109,0.6433333,0.73902804,0.72792447,0.59,0.69707406,0.54,0.49,0.545
1993-05-01,0.5966667,0.45,0.48,0.45,0.495,0.69707406,0.385,0.47,0.71674305
1993-06-01,0.7117109,0.39,0.73902804,0.72792447,0.54,0.415,0.47,0.29,0.71674305
1993-07-01,0.39,0.7577874,0.73902804,0.65,0.7064718,0.5,0.49,0.39,0.49
1993-08-01,0.35,0.532,0.615,0.72792447,0.59,0.55,0.44,0.65,0.71674305
1993-09-01,0.79,0.645,0.73902804,0.72792447,0.7064718,0.69500005,0.70004463,0.75,0.71674305
1993-10-01,0.5,0.87,0.73902804,0.72792447,0.39,0.69707406,0.78999996,0.89,0.77
1993-11-01,0.7117109,0.715,0.73902804,0.72792447,0.7064718,0.89,0.65,0.7100233,0.79
1993-12-01,0.99,0.7577874,0.73902804,0.59666663,0.7064718,0.35,0.49,0.39,0.45
1994-01-01,0.7117109,0.7577874,0.48499998,0.72792447,0.6766667,0.69707406,0.59,0.59,0.49
1994-02-01,0.74333334,0.55,0.59,0.625,0.69,0.69707406,0.59,0.59000003,0.59
1994-03-01,0.55,0.7633333,0.89,0.59,0.77,0.69707406,0.70004463,0.7100233,0.71674305
1994-04-01,0.58,0.69,0.73902804,0.845,0.7064718,0.8,0.58,0.7100233,0.71674305
1994-05-01,0.52666664,0.55,0.49,0.72792447,0.635,0.52,0.39,0.7100233,0.39
1994-06-01,0.55,0.65,0.73902804,0.59000003,0.56,0.48,0.49,0.7100233,0.52
1994-07-01,0.49,0.635,0.625,0.645,0.7,0.5,0.65,0.7100233,0.75
1994-08-01,0.7117109,0.7577874,0.69,0.72792447,0.59666663,0.78499997,0.6025,0.46,0.59
1994-09-01,0.7117109,0.7577874,0.69,0.77,0.7064718,0.72,0.65,0.7100233,0.39
1994-10-01,0.69,0.5175,0.65999997,0.72792447,0.65,0.59,0.70004463,0.5,0.49
1994-11-01,0.69,0.69,0.69,0.68,0.69,0.7,0.70004463,0.85,0.77
1994-12-01,0.7025,0.62,0.73902804,0.49,0.65,0.53000003,0.69,0.7100233,0.6
1995-01-01,0.7117109,0.59,0.64,0.55,0.7064718,0.69707406,0.52,0.59,0.55
1995-02-01,0.62,0.765,0.89,0.72792447,0.7064718,0.69707406,0.69,0.69,0.74
1995-03-01,0.99,0.89,0.73902804,0.69,0.69,0.99,0.70004463,0.99,1.04
1995-04-01,0.48,0.7577874,0.49,0.72792447,0.7064718,0.50333333,0.70004463,0.7100233,0.71674305
1995-05-01,0.59,0.50666666,0.53999996,0.72792447,0.49,0.69707406,0.49,0.59,0.39
1995-06-01,0.7117109,0.74666667,0.79,0.72,0.69,0.74,0.75,0.7100233,0.71674305
1995-07-01,0.69,0.50333333,0.73902804,0.72,0.65,0.69707406,0.67,0.5475,0.69
1995-08-01,0.7117109,0.53999996,0.73902804,0.59,0.7064718,0.49,0.55,0.59,0.49
1995-09-01,0.7,0.67,0.75,0.72792447,0.7064718,0.69707406,0.74,0.42,0.42
1995-10-01,0.69,0.79,0.635,0.59,0.585,0.69707406,0.70004463,0.69,0.71674305
1995-11-01,0.69,0.69,0.695,0.72792447,0.7064718,0.69,0.70004463,0.75,0.75
1995-12-01,0.79,1.0,0.69,0.59,0.7064718,0.69707406,0.78,0.69,0.71674305
1996-01-01,0.7117109,1.1,0.73902804,0.94,0.94,1.37,1.245,1.1133333,1.1
1996-02-01,0.99,0.87,0.88,0.72792447,1.08,0.945,0.70004463,0.7100233,0.99
1996-03-01,0.645,0.69,0.6,0.59,0.645,0.7866667,0.70004463,0.7100233,0.69
1996-04-01,0.66499996,0.595,0.6,0.69,0.53999996,0.59000003,0.49,0.52,0.62
1996-05-01,0.445,0.42,0.73902804,0.32,0.7064718,0.69707406,0.39,0.49,0.39
1996-06-01,0.32,0.69,0.355,0.72792447,0.49,0.35,0.32,0.49,0.45
1996-07-01,0.40499997,0.7577874,0.49,0.72792447,0.7064718,0.42,0.52,0.29,0.71674305
1996-08-01,0.35,0.485,0.73902804,0.72792447,0.7064718,0.42,0.70004463,0.48,0.47
1996-09-01,0.45,0.45,0.73902804,0.54,0.7064718,0.69707406,0.70004463,0.7100233,0.65
1996-10-01,0.25,0.65,0.495,0.72792447,0.48,0.52,0.5233333,0.58500004,0.55
1996-11-01,0.67499995,0.57500005,0.525,0.65,0.65,0.69707406,0.70004463,0.79,0.62666667
1996-12-01,0.74333334,0.675,0.73902804,0.72792447,0.7064718,0.69707406,0.64,0.69,0.74
1997-01-01,0.775,0.5133333,0.73902804,0.49,0.49,0.695,0.49,0.49,0.59
1997-02-01,0.49,0.5866667,0.53999996,0.515,0.7064718,0.49,0.70004463,0.59,0.71674305
1997-03-01,0.69,0.82,0.73902804,0.675,0.59,0.69707406,0.7233333,0.74,0.6766667
1997-04-01,0.69,0.66499996,0.69,0.8,0.49,0.46,0.52,0.7633333,0.71674305
1997-05-01,0.54999995,0.74666667,0.72,0.72792447,0.7064718,0.96,0.70004463,0.7100233,0.71674305
1997-06-01,0.7117109,0.45,0.73902804,0.595,0.45,0.545,0.59,0.59,0.45
1997-07-01,0.425,0.9,0.59,0.59,0.425,0.5,0.53499997,0.45,0.71674305
1997-08-01,0.445,0.7577874,0.55,0.72792447,0.44333333,0.7,0.58500004,0.7100233,0.585
1997-09-01,0.89,0.89,0.73902804,0.72792447,0.89,0.69707406,0.77,0.685,1.0699999
1997-10-01,0.745,0.83500004,0.73902804,0.72792447,0.59,0.82000005,0.59,0.48,0.69
1997-11-01,0.62,0.69,0.6,0.72792447,0.6,0.69707406,0.6166667,0.53999996,0.71674305
1997-12-01,0.66,0.615,0.5,0.72792447,0.7064718,0.69707406,0.79,0.7100233,0.59
1998-01-01,0.59,0.69,0.49,0.62,0.49,0.55,0.69,0.7100233,0.62
1998-02-01,0.5,0.54499996,0.525,0.72792447,0.51,0.47,0.49,0.4,0.445
1998-03-01,0.7117109,0.6675,0.73902804,0.69,0.74,0.69707406,0.79,0.89,0.71674305
1998-04-01,0.7117109,0.48999998,0.73902804,0.72792447,0.7064718,0.56333333,0.545,0.39,0.71674305
1998-05-01,0.625,0.42,0.445,0.49,0.48,0.69707406,0.70004463,0.39,0.29
1998-06-01,0.495,0.7577874,0.73902804,0.72792447,0.49,0.485,0.9,0.44,0.595
1998-07-01,0.58500004,0.52,0.42,0.495,0.7064718,0.55333334,0.39,0.39,0.39
1998-08-01,0.7117109,0.595,0.5,0.725,0.59,0.74,0.59,0.7100233,0.71674305
1998-09-01,0.75,0.7577874,0.73902804,0.72792447,0.59000003,0.69707406,0.70004463,0.75,0.69
1998-10-01,0.69,0.56,0.73902804,0.69,0.79,0.78999996,0.635,0.69,0.89
1998-11-01,0.8,0.94,0.73902804,0.72792447,0.74,0.84000003,0.84000003,0.7100233,0.79
1998-12-01,0.7117109,0.52,0.55,0.72792447,0.74,0.69707406,0.59,0.7100233,0.71674305
1999-01-01,0.4,0.7,0.49,0.72792447,0.52,0.89,0.70004463,0.69,0.71674305
1999-02-01,0.53499997,0.6275,0.39,0.53999996,0.7064718,0.63,0.564,0.5233333,0.71674305
1999-03-01,0.515,0.45,0.73902804,0.645,0.7064718,0.69707406,0.53999996,0.7100233,0.48999998
1999-04-01,0.7117109,0.5325,0.49,0.45,0.45,0.69707406,0.49333334,0.53,0.45
1999-05-01,0.5675,0.515,0.73902804,0.5,0.7064718,0.69707406,0.58,0.44,0.71674305
1999-06-01,0.5,0.69,0.39,0.72792447,0.59,0.69707406,0.70004463,0.47,0.71674305
1999-07-01,0.665,0.7577874,0.505,0.72792447,0.58,0.59,0.85,0.49,0.71674305
1999-08-01,0.89,0.635,0.73902804,0.45,0.59000003,0.69707406,0.70004463,0.7100233,0.695
1999-09-01,0.6,0.85,0.5,0.72792447,0.65,0.69707406,0.56666666,0.7100233,0.65
1999-10-01,0.4,0.69500005,0.73902804,0.59,0.7064718,0.69707406,0.69,0.59,0.71674305
1999-11-01,0.85,0.89,0.73902804,0.99,0.99666667,0.69707406,0.645,0.62,0.71674305
1999-12-01,0.55,0.69,0.74,0.72792447,0.7064718,0.69707406,0.59,0.7100233,0.64
2000-01-01,0.5,0.7577874,0.73902804,0.72792447,0.615,0.69707406,0.45,0.7100233,0.71674305
2000-02-01,0.5475,0.4933333,0.73902804,0.72792447,0.445,0.515,0.44666666,0.7100233,0.45
2000-03-01,0.79,0.615,0.73902804,0.59,0.45499998,0.69707406,0.59000003,0.65,0.71674305
2000-04-01,0.58500004,0.7577874,0.73902804,0.72792447,0.64,0.59,0.6,0.7100233,0.59
2000-05-01,0.5,0.53999996,0.48,0.55,0.4,0.69707406,0.3,0.7100233,0.71674305
2000-06-01,0.89,0.42,0.38,0.72792447,0.7064718,0.58500004,0.49,0.7100233,0.52
2000-07-01,0.59,0.48999998,0.53999996,0.72792447,0.25,0.38,0.34,0.33999997,0.38
2000-08-01,0.99,0.7577874,0.65,0.72792447,0.7064718,0.45,0.70004463,0.48499998,0.45
2000-09-01,0.65,0.635,0.73902804,0.72792447,0.49,0.48,0.69,0.59,0.71674305
2000-10-01,0.505,0.48,0.73902804,0.72792447,0.53,0.69707406,0.44,0.48,0.635
2000-11-01,0.49,0.65,0.73902804,0.72792447,0.66999996,0.69707406,0.70004463,0.7100233,0.4
2000-12-01,0.57000005,0.6,0.55,0.72792447,0.445,0.69707406,0.59,0.55,0.615
